loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
25950,25950,25950.0, 36 months, 11.55%,856.35,B,B4,,< 1 year,RENT,100000.0,Not Verified,Oct-2018,Current,n,,,debt_consolidation,Debt consolidation,750xx,TX,21.66,1,Jan-1998,1,20.0,,16,0,25961,47.5%,36,w,11790.85,11790.85,18823.05,18823.05,14159.15,4663.9,0.0,0.0,0.0,Jan-2021,0.0,Feb-2021,Jan-2021,0,,1,Individual,,,,0,0,54873,3,2,1,1,2.0,28912,60.0,3,4,4379,53.0,54600,0,2,3,5,3430.0,23222.0,41.5,0,0,147.0,249,2,2,3,2.0,25.0,2.0,20.0,0,8,10,11,15,9,14,24,10,16,0.0,0,0,4,85.7,9.1,0,0,102757,54873,39700,48157,,,,,,,,,,,,N,CVD19SKIP,INCOME_CURTAILMENT,COMPLETE,4.0,0.0,May-2020,Jul-2020,May-2020,4.0,0.0,ACTIVE,734.74,15894.11,721.91,N,,,,,,
16000,16000,16000.0, 36 months,  8.81%,507.39,A,A5,School counselor,10+ years,OWN,78000.0,Not Verified,Dec-2018,Fully Paid,n,,,credit_card,Credit card refinancing,773xx,TX,25.85,0,Jan-2003,0,25.0,,6,0,15409,67%,18,w,0.0,0.0,16893.6316120644,16893.63,16000.0,893.63,0.0,0.0,0.0,Aug-2019,13322.32,,Jan-2021,0,,1,Individual,,,,0,0,201479,1,4,1,3,6.0,27522,52.0,0,0,15409,57.0,23000,2,1,3,3,33580.0,7591.0,67.0,0,0,147.0,190,60,6,3,140.0,25.0,6.0,25.0,0,1,1,1,3,9,1,6,1,6,0.0,0,0,1,94.4,0.0,0,0,240552,42931,23000,52552,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
10000,10000,10000.0, 60 months, 20.89%,269.92,D,D4,Exec As,10+ years,MORTGAGE,45000.0,Source Verified,Nov-2018,Charged Off,n,,,debt_consolidation,Debt consolidation,601xx,IL,26.56,0,Feb-1996,0,40.0,,12,0,3665,25.5%,24,w,0.0,0.0,1068.07,1068.07,393.47,674.6,0.0,0.0,0.0,Mar-2019,269.92,,Jan-2021,0,45.0,1,Individual,,,,0,382,32121,0,3,2,5,11.0,28456,87.0,1,4,383,68.0,14400,3,0,2,9,2677.0,6417.0,5.6,0,0,161.0,271,10,10,2,17.0,45.0,12.0,44.0,1,1,5,4,7,9,9,13,5,12,0.0,0,0,3,73.9,0.0,0,0,47142,32121,6800,32742,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
5000,5000,5000.0, 36 months, 16.14%,176.14,C,C4,Accounting and Materials Mgr,9 years,MORTGAGE,128851.0,Source Verified,Dec-2018,Current,n,,,home_improvement,Home improvement,890xx,NV,26.01,0,Nov-2011,0,,,18,0,43763,63.3%,24,w,1789.53,1789.53,4399.02,4399.02,3210.47,1188.55,0.0,0.0,0.0,Jan-2021,176.14,Feb-2021,Jan-2021,0,,1,Individual,,,,0,0,404933,0,3,1,2,10.0,20750,44.0,0,1,10991,58.0,69100,2,0,2,3,22496.0,14565.0,70.6,0,0,85.0,57,20,10,2,20.0,,2.0,,0,8,12,8,8,8,13,13,12,18,0.0,0,0,1,100.0,37.5,0,0,471717,71811,49600,47332,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
35000,35000,35000.0, 60 months, 10.72%,756.11,B,B2,Store manager,9 years,MORTGAGE,72000.0,Source Verified,Nov-2018,Current,n,,,credit_card,Credit card refinancing,762xx,TX,12.23,0,Nov-2007,0,,,12,0,13997,26.1%,22,w,22086.08,22086.08,19638.02,19638.02,12913.92,6724.1,0.0,0.0,0.0,Jan-2021,756.11,Feb-2021,Jan-2021,0,,1,Individual,,,,0,0,179537,2,1,1,1,8.0,17667,93.0,2,2,8333,44.0,53700,0,0,1,4,14961.0,19652.0,35.8,0,0,92.0,132,5,5,2,5.0,,11.0,,0,2,4,6,8,4,10,16,4,12,0.0,0,0,4,100.0,16.7,0,0,225500,31664,30600,19000,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
19200,19200,19200.0, 36 months, 16.14%,676.35,C,C4,Retail sales,3 years,RENT,55000.0,Not Verified,Oct-2018,Charged Off,n,,,debt_consolidation,Debt consolidation,089xx,NJ,21.79,0,Dec-2014,0,,,7,0,12785,68.7%,7,w,0.0,0.0,3390.36,3390.36,2147.55,1242.81,0.0,0.0,0.0,Mar-2019,676.35,,Sep-2019,0,,1,Individual,,,,0,0,27666,1,2,1,1,9.0,14881,62.0,1,3,4461,65.0,18600,0,0,1,4,3952.0,4081.0,75.0,0,0,29.0,46,4,4,0,4.0,,9.0,,0,3,4,4,4,2,5,5,4,7,0.0,0,0,2,100.0,50.0,0,0,42667,27666,16300,24067,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
40000,40000,40000.0, 36 months,  8.81%,1268.46,A,A5,,,MORTGAGE,120000.0,Source Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,604xx,IL,12.18,0,Aug-1989,0,,,23,0,10480,7.7%,41,w,13357.3,13357.3,31672.34,31672.34,26642.7,5029.64,0.0,0.0,0.0,Jan-2021,1268.46,Feb-2021,Jan-2021,0,,1,Individual,,,,0,894,247696,0,2,0,1,13.0,14162,38.0,2,4,3990,14.0,135800,1,6,3,6,10769.0,100889.0,9.3,0,0,77.0,352,9,9,4,11.0,,9.0,,0,6,8,13,19,4,20,33,8,23,0.0,0,0,3,100.0,0.0,0,0,399470,24642,111200,37443,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
24000,24000,23975.0, 36 months,  8.81%,761.08,A,A5,IT Administrator,2 years,RENT,98000.0,Source Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,601xx,IL,16.29,0,Sep-2011,1,,73.0,6,1,2361,8.9%,8,f,8014.27,8005.92,19050.5,19030.66,15985.73,3064.77,0.0,0.0,0.0,Jan-2021,761.08,Feb-2021,Jan-2021,0,,1,Individual,,,,0,0,161524,1,2,0,1,22.0,159163,77.0,2,3,1744,34.0,26600,1,0,1,4,26921.0,22139.0,8.9,0,0,87.0,64,6,6,0,6.0,,3.0,,0,3,4,3,3,2,4,6,4,6,0.0,0,0,2,100.0,0.0,1,0,159224,161524,24300,132624,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
23000,23000,23000.0, 36 months, 16.91%,818.99,C,C5,,,MORTGAGE,97000.0,Not Verified,Nov-2018,Fully Paid,n,,,debt_consolidation,Debt consolidation,958xx,CA,9.74,3,Sep-2002,1,11.0,,17,0,20070,59.4%,22,w,0.0,0.0,28921.37,28921.37,23000.0,5921.37,0.0,0.0,0.0,Dec-2020,11744.19,,Dec-2020,0,,1,Individual,,,,0,0,385469,2,1,0,1,22.0,6090,67.0,2,5,2264,61.0,33800,2,5,4,6,22675.0,11407.0,32.9,0,0,119.0,110,3,3,2,3.0,12.0,0.0,12.0,0,8,10,11,11,5,14,15,10,17,0.0,0,0,2,88.9,18.2,0,0,452255,26160,17000,9043,,,,,,,,,,,,N,CVD19SKIP,INCOME_CURTAILMENT,COMPLETE,2.0,0.0,May-2020,Jul-2020,May-2020,2.0,0.0,ACTIVE,502.02,13743.92,615.18,N,,,,,,
20000,20000,20000.0, 36 months, 15.02%,693.51,C,C3,Director of Custodial Services,3 years,RENT,65000.0,Not Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,777xx,TX,28.76,1,Dec-1998,0,4.0,,6,0,13066,51.6%,8,w,7085.16,7085.16,17195.9,17195.9,12914.84,4281.06,0.0,0.0,0.0,Jan-2021,693.51,Feb-2021,Jan-2021,0,4.0,1,Individual,,,,0,0,321488,0,2,0,1,19.0,54876,114.0,0,0,13066,74.0,25300,1,0,0,1,53581.0,11934.0,52.3,0,0,203.0,240,102,19,1,220.0,,14.0,,1,1,1,1,1,3,2,3,1,6,0.0,0,1,0,85.7,0.0,0,0,396735,69771,25000,68230,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
